Original Entry,Title,Year,Format,TMDB Search JSON,TMDB ID,TMDB Rating,Genre,Poster Path,Cover URL,Cover Image,Runtime (min),Overview,Release Date,Watched?,My Rating (1-5),Notes,TMDB Source URL,Match Status
Hell House LLC. (2015),Hell House LLC.,2015,Blu-ray,,359246,6.466,"Horror, Mystery",/xUSCQEbbAy3Lv6r00RfXtdxhRDX.jpg,https://image.tmdb.org/t/p/w342/xUSCQEbbAy3Lv6r00RfXtdxhRDX.jpg,,91,"Five years after an unexplained malfunction causes the death of 15 tour-goers and staff on the opening night of a Halloween haunted house tour, a documentary crew travels back to the scene of the tragedy to find out what really happened.",2015-10-16,Unwatched,,,https://www.themoviedb.org/movie/359246,Matched
Henry: Portrait of a Serial Killer (1986),Henry: Portrait of a Serial Killer,1986,Blu-ray,,10692,6.737,"Crime, Horror, Thriller, Drama",/diVMzTarVLgjc3jyODyhZMadfwD.jpg,https://image.tmdb.org/t/p/w342/diVMzTarVLgjc3jyODyhZMadfwD.jpg,,83,"Arriving in Chicago, Henry moves in with ex-con acquaintance Otis and starts schooling him in the ways of the serial killer.",1986-09-24,Unwatched,,,https://www.themoviedb.org/movie/10692,Matched
Hereditary (2018),Hereditary,2018,Blu-ray,,493922,7.292,"Horror, Mystery, Thriller",/hjlZSXM86wJrfCv5VKfR5DI2VeU.jpg,https://image.tmdb.org/t/p/w342/hjlZSXM86wJrfCv5VKfR5DI2VeU.jpg,,128,"Following the death of the Leigh family matriarch, Annie and her children uncover disturbing secrets about their heritage. Their daily lives are not only impacted, but they also become entangled in a chilling fate from which they cannot escape, driving them to the brink of madness.",2018-06-07,Watched,5,,https://www.themoviedb.org/movie/493922,Matched
Heretic (2024),Heretic,2024,Blu-ray,,1138194,6.97,"Thriller, Horror",/fr96XzlzsONrQrGfdLMiwtQjott.jpg,https://image.tmdb.org/t/p/w342/fr96XzlzsONrQrGfdLMiwtQjott.jpg,,111,"Two young missionaries are forced to prove their faith when they knock on the wrong door and are greeted by a diabolical Mr. Reed, becoming ensnared in his deadly game of cat-and-mouse.",2024-10-31,Watched,3,,https://www.themoviedb.org/movie/1138194,Matched
High Tension (2003),High Tension,2003,Blu-ray,,10226,6.764,"Horror, Thriller, Mystery",/vKeFa7CqSxmWsQDjHP6SJXKoDbj.jpg,https://image.tmdb.org/t/p/w342/vKeFa7CqSxmWsQDjHP6SJXKoDbj.jpg,,91,"Best friends Marie and Alexia decide to spend a quiet weekend at Alexia's parents' secluded farmhouse. But on the night of their arrival, the girls' idyllic getaway turns into an endless night of horror.",2003-06-18,Watched,5,,https://www.themoviedb.org/movie/10226,Matched
The Hills Have Eyes (2006),The Hills Have Eyes,2006,"Blu-ray, Blu-ray",,9792,6.463,"Horror, Thriller",/2eJL1Ccr1FN3dm9OSDwyd8uaX1b.jpg,https://image.tmdb.org/t/p/w342/2eJL1Ccr1FN3dm9OSDwyd8uaX1b.jpg,,107,"Based on Wes Craven's 1977 suspenseful cult classic, The Hills Have Eyes is the story of a family road trip that goes terrifyingly awry when the travelers become stranded in a government atomic zone. Miles from nowhere, the Carter family soon realizes the seemingly uninhabited wasteland is actually the breeding ground of a blood-thirsty mutant family...and they are the prey.",2006-03-10,Watched,2,,https://www.themoviedb.org/movie/9792,Matched
The Hills Have Eyes 2 (2007),The Hills Have Eyes 2,2007,"Blu-ray, Blu-ray",,9793,5.571,Horror,/3SX2UGSmAjIZsVACpshPpKtjbDr.jpg,https://image.tmdb.org/t/p/w342/3SX2UGSmAjIZsVACpshPpKtjbDr.jpg,,89,A group of National Guard trainees on a routine mission find themselves up against cannibalistic mutants in the New Mexico desert.,2007-03-22,Watched,4,,https://www.themoviedb.org/movie/9793,Matched
The Hills Run Red (2009),The Hills Run Red,2009,Blu-ray,,24001,5.765,"Horror, Thriller",/odPuG8mbDF12uMAQ5K4LuebtyUo.jpg,https://image.tmdb.org/t/p/w342/odPuG8mbDF12uMAQ5K4LuebtyUo.jpg,,81,"A group of young horror fans go searching for a film that mysteriously vanished years ago but instead find that the demented killer from the movie is real, and he's thrilled to meet fans who will die gruesomely for his art.",2009-09-29,Unwatched,,,https://www.themoviedb.org/movie/24001,Matched
The Hobbit: An Unexpected Journey (2012),The Hobbit: An Unexpected Journey,2012,Blu-ray,,49051,7.374,"Adventure, Fantasy, Action",/yHA9Fc37VmpUA5UncTxxo3rTGVA.jpg,https://image.tmdb.org/t/p/w342/yHA9Fc37VmpUA5UncTxxo3rTGVA.jpg,,169,"Bilbo Baggins, a hobbit enjoying his quiet life, is swept into an epic quest by Gandalf the Grey and thirteen dwarves who seek to reclaim their mountain home from Smaug, the dragon.",2012-12-12,Unwatched,,,https://www.themoviedb.org/movie/49051,Matched
The Hobbit: The Battle of the Five Armies (2014),The Hobbit: The Battle of the Five Armies,2014,Blu-ray,,122917,7.334,"Action, Adventure, Fantasy",/xT98tLqatZPQApyRmlPL12LtiWp.jpg,https://image.tmdb.org/t/p/w342/xT98tLqatZPQApyRmlPL12LtiWp.jpg,,144,"Following Smaug's attack on Laketown, Bilbo and the dwarves try to defend Erebor's mountain of treasure from others who claim it: the men of the ruined Laketown and the elves of Mirkwood. Meanwhile an army of Orcs led by Azog the Defiler is marching on Erebor, fueled by the rise of the dark lord Sauron. Dwarves, elves and men must unite, and the hope for Middle-Earth falls into Bilbo's hands.",2014-12-10,Unwatched,,,https://www.themoviedb.org/movie/122917,Matched
The Hobbit: The Desolation of Smaug (2013),The Hobbit: The Desolation of Smaug,2013,Blu-ray,,57158,7.578,"Fantasy, Adventure, Action",/xQYiXsheRCDBA39DOrmaw1aSpbk.jpg,https://image.tmdb.org/t/p/w342/xQYiXsheRCDBA39DOrmaw1aSpbk.jpg,,161,"The Dwarves, Bilbo and Gandalf have successfully escaped the Misty Mountains, and Bilbo has gained the One Ring. They all continue their journey to get their gold back from the Dragon, Smaug.",2013-12-11,Watched,5,,https://www.themoviedb.org/movie/57158,Matched
Horrible Bosses (2011),Horrible Bosses,2011,Blu-ray,,51540,6.573,"Comedy, Crime",/uQkUwgyFHAm0jGQERPG6Z9o9Zbj.jpg,https://image.tmdb.org/t/p/w342/uQkUwgyFHAm0jGQERPG6Z9o9Zbj.jpg,,98,"For Nick, Kurt and Dale, the only thing that would make the daily grind more tolerable would be to grind their intolerable bosses into dust. Quitting is not an option, so, with the benefit of a few-too-many drinks and some dubious advice from a hustling ex-con, the three friends devise a convoluted and seemingly foolproof plan to rid themselves of their respective employers... permanently.",2011-07-08,Watched,4,,https://www.themoviedb.org/movie/51540,Matched
Hostel (2005),Hostel,2005,Blu-ray,,153188,3,Horror,/cdY2pYMAoHIlfi4tSNyAvPaUeB2.jpg,https://image.tmdb.org/t/p/w342/cdY2pYMAoHIlfi4tSNyAvPaUeB2.jpg,,88,"After enrolling in an experimental study on Rage Impulse Disorder at the Straun Foundation, Michael Dare discovers that the research is not what it seems. After learning that the Foundation's head, Dr. Timothy Straun has his own agenda for them, Dare and head resident Dr. Susan Verger team up to stop him. Straun's shocking family secret and twisted plan are then revealed in a stunning finale.",2005-01-01,Watched,3,,https://www.themoviedb.org/movie/153188,Matched
Hostel: Part II (2007),Hostel: Part II,2007,Blu-ray,,1691,5.854,Horror,/qB20aiY8Ah3pQikkBxm3j7jQVc8.jpg,https://image.tmdb.org/t/p/w342/qB20aiY8Ah3pQikkBxm3j7jQVc8.jpg,,93,"Three American college students studying abroad are lured to a Slovakian hostel, and discover the grim reality behind it.",2007-06-07,Watched,5,,https://www.themoviedb.org/movie/1691,Matched
Hot Tub Time Machine (2010),Hot Tub Time Machine,2010,Blu-ray,,23048,6,"Science Fiction, Comedy, Adventure",/wjzbVXAes1acbh6k4OO5xVfy5.jpg,https://image.tmdb.org/t/p/w342/wjzbVXAes1acbh6k4OO5xVfy5.jpg,,101,"Four pals are stuck in a rut in adulthood: Adam has just been dumped, Lou is a hopeless party animal, Nick is a henpecked husband, and Jacob does nothing but play video games in his basement. But they get a chance to brighten their future by changing their past after a night of heavy drinking in a ski-resort hot tub results in their waking up in 1986.",2010-03-26,Watched,5,,https://www.themoviedb.org/movie/23048,Matched
House of 1000 Corpses (2003),House of 1000 Corpses,2003,Blu-ray,,2662,6.2,Horror,/29c2qgXmSREosLBevOILEuMWzQC.jpg,https://image.tmdb.org/t/p/w342/29c2qgXmSREosLBevOILEuMWzQC.jpg,,89,Two teenage couples traveling across the backwoods of Texas searching for urban legends of serial killers end up as prisoners of a bizarre and sadistic backwater family of serial killers.,2003-04-11,Watched,3,,https://www.themoviedb.org/movie/2662,Matched
